elevation,mindate,maxdate,latitude,name,datacoverage,id,elevationUnit,longitude
1100.0,1951-01-01,2023-08-30,41.717,"KUQA, CH",1.0,GHCND:CHM00051644,METERS,82.95
933.0,1962-03-01,2023-08-30,41.75,"KORLA, CH",0.8325,GHCND:CHM00051656,METERS,86.133
1380.0,1951-01-01,2023-08-30,39.467,"KASHI, CH",1.0,GHCND:CHM00051709,METERS,75.983
1117.0,1953-01-01,2023-08-30,39.8,"BACHU, CH",1.0,GHCND:CHM00051716,METERS,78.567
1099.0,1999-01-01,2023-08-30,39.0,"TAZHONG, CH",1.0,GHCND:CHM00051747,METERS,83.667
847.0,1957-01-01,2023-08-30,40.633,"TIKANLIK, CH",1.0,GHCND:CHM00051765,METERS,87.7
889.0,1953-01-01,2023-04-27,39.033,"RUOQIANG, CH",1.0,GHCND:CHM00051777,METERS,88.167
1232.0,1953-01-01,2023-08-30,38.433,"SHACHE, CH",1.0,GHCND:CHM00051811,METERS,77.267
1375.0,1953-01-01,2023-08-30,37.133,"HOTAN, CH",1.0,GHCND:CHM00051828,METERS,79.933
1248.0,1953-05-01,2000-04-03,38.15,"QIEMO QARQAN, CH",1.0,GHCND:CHM00051855,METERS,85.55
739.0,1951-01-01,2023-08-30,42.817,"HAMI, CH",1.0,GHCND:CHM00052203,METERS,93.517
941.0,1960-05-01,2023-04-27,41.95,"EJIN QI, CH",0.851,GHCND:CHM00052267,METERS,101.067
1770.0,1962-02-01,2023-08-30,41.8,"MAZONG SHAN, CH",0.8416,GHCND:CHM00052323,METERS,97.033
1140.0,1951-01-01,2023-04-27,40.15,"DUNHUANG, CH",1.0,GHCND:CHM00052418,METERS,94.683
1527.0,1952-01-01,2023-08-30,40.267,"YUMENZHEN, CH",1.0,GHCND:CHM00052436,METERS,97.033
1329.0,1957-01-01,2023-08-30,40.75,"BAYAN MOD, CH",1.0,GHCND:CHM00052495,METERS,104.5
1478.0,1946-04-01,2023-08-30,39.767,"JIUQUAN, CH",1.0,GHCND:CHM00052533,METERS,98.483
2771.0,1956-01-01,2023-08-30,38.833,"LENGHU, CH",1.0,GHCND:CHM00052602,METERS,93.383
1367.0,1953-01-01,2023-08-30,38.633,"MINQIN, CH",1.0,GHCND:CHM00052681,METERS,103.083
3174.0,1956-01-01,2023-08-30,37.85,"DA QAIDAM, CH",1.0,GHCND:CHM00052713,METERS,95.367
3302.0,1957-01-01,2023-08-30,37.333,"GANGCA, CH",1.0,GHCND:CHM00052754,METERS,100.133
3044.0,1951-01-01,2023-08-30,37.2,"WUSHAOLING, CH",1.0,GHCND:CHM00052787,METERS,102.867
2809.0,1955-01-01,2023-08-30,36.417,"GOLMUD, CH",1.0,GHCND:CHM00052818,METERS,94.9
3192.0,1954-01-01,2023-08-28,36.3,"DULAN, CH",1.0,GHCND:CHM00052836,METERS,98.1
2296.0,1954-01-01,2023-08-30,36.617,"XINING, CH",1.0,GHCND:CHM00052866,METERS,101.767
1518.0,1951-01-01,2015-01-30,36.05,"LANZHOU, CH",1.0,GHCND:CHM00052889,METERS,103.883
3123.0,1999-01-01,2023-08-30,35.583,"GUINAN, CH",1.0,GHCND:CHM00052955,METERS,100.75
3289.0,1954-02-01,1998-12-31,35.27,"TONGDE, CH",1.0,GHCND:CHM00052957,METERS,100.65
1875.0,2004-05-01,2023-08-30,35.867,"YU ZHONG, CH",0.9929,GHCND:CHM00052983,METERS,104.15
966.0,1955-01-01,2023-08-28,43.65,"ERENHOT, CH",1.0,GHCND:CHM00053068,METERS,112.0
1128.0,1952-01-01,2023-08-30,44.017,"ABAG QI, CH",1.0,GHCND:CHM00053192,METERS,114.95
1510.0,1961-08-13,2023-08-30,41.45,"HAILS, CH",0.891,GHCND:CHM00053231,METERS,106.383
1152.0,1952-01-01,2023-04-27,42.4,"JURH, CH",1.0,GHCND:CHM00053276,METERS,112.9
1290.0,1954-01-01,2023-08-30,41.567,"HALIUT, CH",1.0,GHCND:CHM00053336,METERS,108.517
1377.0,1953-01-01,2023-08-30,41.7,"BAILING MIAO, CH",1.0,GHCND:CHM00053352,METERS,110.433
1484.0,1952-01-01,2023-08-30,41.9,"HUADE, CH",1.0,GHCND:CHM00053391,METERS,114.0
1065.0,1951-01-01,2023-08-30,40.817,"HOHHOT, CH",0.9986,GHCND:CHM00053463,METERS,111.683
1069.0,1955-01-01,2023-08-30,40.1,"DATONG, CH",1.0,GHCND:CHM00053487,METERS,113.333
1143.0,1955-01-01,2023-08-30,39.783,"JARTAI, CH",1.0,GHCND:CHM00053502,METERS,105.75
1381.0,1954-01-01,2023-08-30,39.1,"OTOG QI, CH",0.9993,GHCND:CHM00053529,METERS,107.983
1112.0,1951-01-01,2023-08-30,38.467,"YINCHUAN, CH",1.0,GHCND:CHM00053614,METERS,106.2
1058.0,1951-01-01,2023-08-30,38.233,"YULIN, CH",0.9987,GHCND:CHM00053646,METERS,109.7
838.0,1954-01-01,2023-08-30,38.75,"YUANPING, CH",1.0,GHCND:CHM00053673,METERS,112.7
81.0,1955-01-01,2023-08-30,38.033,"SHIJIAZHUANG, CH",1.0,GHCND:CHM00053698,METERS,114.417
1356.0,1954-01-01,2023-08-30,37.8,"YANCHI, CH",1.0,GHCND:CHM00053723,METERS,107.383
779.0,1951-01-01,2023-08-30,37.783,"TAIYUAN, CH",1.0,GHCND:CHM00053772,METERS,112.55
959.0,1951-01-01,2023-08-30,36.6,"YAN AN, CH",1.0,GHCND:CHM00053845,METERS,109.5
745.0,1954-01-01,2023-08-30,37.033,"JIEXIU, CH",1.0,GHCND:CHM00053863,METERS,111.917
64.0,1951-01-01,2023-08-30,36.05,"ANYANG, CH",1.0,GHCND:CHM00053898,METERS,114.4
1348.0,1951-01-01,2023-08-30,35.55,"PINGLIANG, CH",1.0,GHCND:CHM00053915,METERS,106.667
365.0,1956-01-01,2023-08-30,35.05,"YUNCHENG, CH",1.0,GHCND:CHM00053959,METERS,111.05
997.0,1954-01-01,2023-08-30,44.583,"XI UJIMQIN QI, CH",1.0,GHCND:CHM00054012,METERS,117.6
266.0,1952-01-01,2023-08-30,44.567,"JARUD QI, CH",1.0,GHCND:CHM00054026,METERS,120.9
485.0,1953-01-01,2023-08-30,43.983,"LINDONG, CH",1.0,GHCND:CHM00054027,METERS,119.4
242.0,1951-01-01,2023-08-30,44.567,"MUDANJIANG, CH",1.0,GHCND:CHM00054094,METERS,129.6
498.0,1952-01-01,2023-08-30,44.383,"SUIFENHE, CH",1.0,GHCND:CHM00054096,METERS,131.15
1004.0,1952-01-01,2023-08-30,43.95,"XILIN HOT, CH",1.0,GHCND:CHM00054102,METERS,116.117
800.0,1952-01-01,2023-08-30,43.6,"LINXI, CH",1.0,GHCND:CHM00054115,METERS,118.067
180.0,1951-01-01,2023-08-30,43.6,"TONGLIAO, CH",1.0,GHCND:CHM00054135,METERS,122.267
167.0,1951-01-01,2023-08-30,43.183,"SIPING, CH",1.0,GHCND:CHM00054157,METERS,124.333
238.0,1951-01-01,2023-08-30,43.9,"CHANGCHUN, CH",1.0,GHCND:CHM00054161,METERS,125.217
1247.0,1952-01-01,2023-08-30,42.183,"DUOLUN, CH",1.0,GHCND:CHM00054208,METERS,116.467
567.0,1951-01-01,2023-08-30,42.3,"CHIFENG, CH",0.9987,GHCND:CHM00054218,METERS,118.833
84.0,1952-01-01,2023-08-30,42.417,"ZHANGWU, CH",1.0,GHCND:CHM00054236,METERS,122.533
178.0,1953-01-01,2023-08-30,42.867,"YANJI, CH",1.0,GHCND:CHM00054292,METERS,129.5
176.0,1952-01-01,2023-08-30,41.55,"CHAOYANG, CH",1.0,GHCND:CHM00054324,METERS,120.45
70.0,1951-01-01,2023-08-30,41.133,"JINZHOU, CH",1.0,GHCND:CHM00054337,METERS,121.117
43.0,1951-01-01,2023-08-30,41.733,"SHENYANG, CH",1.0,GHCND:CHM00054342,METERS,123.517
185.0,1955-01-01,2023-08-30,41.317,"BENXI, CH",1.0,GHCND:CHM00054346,METERS,123.783
538.0,1954-01-01,2023-08-30,40.417,"HUAILAI, CH",1.0,GHCND:CHM00054405,METERS,115.5
423.0,1951-01-01,2023-08-30,40.967,"CHENGDE, CH",1.0,GHCND:CHM00054423,METERS,117.917
4.0,1951-01-01,2023-08-30,40.667,"YINGKOU, CH",1.0,GHCND:CHM00054471,METERS,122.2
235.0,1952-07-01,1991-06-30,40.883,"CAOHEKOU, CH",1.0,GHCND:CHM00054483,METERS,123.9
55.0,1945-10-31,2023-08-30,39.933,"BEIJING, CH",1.0,GHCND:CHM00054511,METERS,116.283
5.0,1954-01-01,2023-08-30,39.1,"TIANJIN, CH",1.0,GHCND:CHM00054527,METERS,117.167
12.0,1957-01-01,2023-08-30,39.433,"LETING, CH",1.0,GHCND:CHM00054539,METERS,118.9
11.0,1954-01-01,1995-12-31,38.333,"CANGZHOU, CH",1.0,GHCND:CHM00054616,METERS,116.833
13.0,1996-01-01,2023-08-30,38.083,"POTOU, CH",1.0,GHCND:CHM00054618,METERS,116.55
97.0,1951-01-01,2023-08-30,38.9,"DALIAN, CH",1.0,GHCND:CHM00054662,METERS,121.633
12.0,1951-01-01,2023-08-30,37.5,"HUIMIN, CH",1.0,GHCND:CHM00054725,METERS,117.533
47.0,1952-01-01,2023-08-30,37.4,"CHENGSHANTOU, CH",1.0,GHCND:CHM00054776,METERS,122.683
169.0,1951-01-01,2023-08-29,36.6,"JINAN, CH",1.0,GHCND:CHM00054823,METERS,117.05
22.0,1951-01-01,2023-08-30,36.767,"WEIFANG, CH",1.0,GHCND:CHM00054843,METERS,119.183
77.0,1956-08-01,2023-08-30,36.067,"QINGDAO, CH",0.9944,GHCND:CHM00054857,METERS,120.333
51.0,1953-03-01,1995-01-12,35.25,"HEZE CAOZHOU, CH",0.9999,GHCND:CHM00054906,METERS,115.433
51.0,1995-01-01,2023-08-30,35.083,"DINGTAO, CH",1.0,GHCND:CHM00054909,METERS,115.517
53.0,1951-01-01,2023-08-30,35.567,"YANZHOU, CH",1.0,GHCND:CHM00054916,METERS,116.85
4280.0,1962-01-01,2023-08-30,32.5,"SHIQUANHE, CH",0.8372,GHCND:CHM00055228,METERS,80.083
4701.0,1956-10-01,2023-04-27,31.367,"BAINGOIN, CH",0.9986,GHCND:CHM00055279,METERS,90.017
4508.0,1954-07-01,2023-08-30,31.483,"NAGQU, CH",0.977,GHCND:CHM00055299,METERS,92.067
4670.0,1973-01-01,2023-04-27,30.95,"XAINZA, CH",0.9904,GHCND:CHM00055472,METERS,88.633
3837.0,1955-12-01,2023-08-30,29.25,"XIGAZE, CH",0.9958,GHCND:CHM00055578,METERS,88.883
3650.0,1955-01-01,2023-08-30,29.667,"LHASA, CH",1.0,GHCND:CHM00055591,METERS,91.133
4535.0,1956-01-01,2023-08-30,34.217,"TUOTUOHE, CH",1.0,GHCND:CHM00056004,METERS,92.433
4176.0,1956-01-01,2023-08-30,34.133,"QUMARLEB, CH",1.0,GHCND:CHM00056021,METERS,95.783
3717.0,1951-01-01,2023-08-30,33.0,"YUSHU, CH",1.0,GHCND:CHM00056029,METERS,96.967
4273.0,1953-01-01,2023-08-30,34.917,"MADOI, CH",1.0,GHCND:CHM00056033,METERS,98.217
3968.0,1956-01-01,2023-08-30,33.75,"DARLAG, CH",1.0,GHCND:CHM00056046,METERS,99.65
3441.0,1962-01-01,2023-08-30,33.583,"RUO ERGAI, CH",0.848,GHCND:CHM00056079,METERS,102.967
2910.0,1957-01-01,2023-08-30,35.0,"HEZUO, CH",1.0,GHCND:CHM00056080,METERS,102.9
1079.0,1951-01-01,2023-08-30,33.4,"WUDU, CH",1.0,GHCND:CHM00056096,METERS,104.917
4024.0,1957-07-01,2023-04-27,31.883,"SOG XIAN, CH",0.9994,GHCND:CHM00056106,METERS,93.783
3874.0,1954-01-01,2023-08-30,31.417,"DENGQEN, CH",0.9451,GHCND:CHM00056116,METERS,95.6
3307.0,1954-01-01,2023-08-30,31.15,"QAMDO, CH",1.0,GHCND:CHM00056137,METERS,97.167
3394.0,1951-01-01,2023-08-30,31.617,"GARZE, CH",1.0,GHCND:CHM00056146,METERS,100.0
2666.0,1953-01-01,2023-08-30,31.9,"BARKAM, CH",1.0,GHCND:CHM00056172,METERS,102.233
2852.0,1951-01-01,2023-08-30,32.65,"SONGPAN, CH",1.0,GHCND:CHM00056182,METERS,103.567
541.0,2004-01-01,2023-08-30,30.75,"WENJIANG, CH",1.0,GHCND:CHM00056187,METERS,103.867
3950.0,1952-01-01,2023-08-30,30.0,"LITANG, CH",1.0,GHCND:CHM00056257,METERS,100.267
508.0,1951-01-01,2023-08-30,30.667,"CHENGDU, CH",1.0,GHCND:CHM00056294,METERS,104.017
3320.0,1953-01-01,2023-08-30,28.45,"DEQEN, CH",1.0,GHCND:CHM00056444,METERS,98.883
2994.0,1952-01-01,2023-08-30,29.0,"JIULONG, CH",1.0,GHCND:CHM00056462,METERS,101.5
342.0,1944-04-01,2023-08-30,28.8,"YIBIN, CH",1.0,GHCND:CHM00056492,METERS,104.6
1599.0,1944-03-30,2023-08-30,27.9,"XICHANG, CH",1.0,GHCND:CHM00056571,METERS,102.267
2394.0,1944-01-31,2023-08-30,26.833,"LIJING, CH",1.0,GHCND:CHM00056651,METERS,100.467
1788.0,1952-01-01,2023-08-30,26.65,"HUILI, CH",1.0,GHCND:CHM00056671,METERS,102.25
1649.0,1951-01-01,2023-08-30,25.117,"TENGCHONG, CH",1.0,GHCND:CHM00056739,METERS,98.483
1820.0,1944-02-01,2023-04-27,25.017,"CHUXIONG, CH",1.0,GHCND:CHM00056768,METERS,101.517
1892.0,1942-07-13,2023-08-30,25.017,"KUNMING, CH",1.0,GHCND:CHM00056778,METERS,102.683
1503.0,1953-01-01,2023-08-30,23.95,"LINCANG, CH",1.0,GHCND:CHM00056951,METERS,100.217
1054.0,1954-01-01,2023-08-30,22.567,"LANCANG, CH",1.0,GHCND:CHM00056954,METERS,99.933
1303.0,1944-05-17,2023-08-30,22.767,"SIMAO, CH",1.0,GHCND:CHM00056964,METERS,100.983
1302.0,1945-03-01,2023-08-30,23.383,"MENGZI, CH",1.0,GHCND:CHM00056985,METERS,103.383
1143.0,1951-01-01,2003-12-31,34.583,"TIANSHUI, CH",0.9984,GHCND:CHM00057006,METERS,105.75
1086.0,2004-01-01,2023-08-30,34.567,"BEIDAO, CH",1.0,GHCND:CHM00057014,METERS,105.867
479.0,1951-01-01,2023-08-30,34.3,"XIAN, CH",1.0,GHCND:CHM00057036,METERS,108.933
570.0,1952-01-01,2023-08-30,34.05,"LUSHI, CH",1.0,GHCND:CHM00057067,METERS,111.033
111.0,1951-01-01,2023-08-30,34.717,"ZHENGZHOU, CH",1.0,GHCND:CHM00057083,METERS,113.65
509.0,1951-01-01,2023-08-30,33.067,"HANZHONG, CH",1.0,GHCND:CHM00057127,METERS,107.033
411.0,2006-01-01,2023-08-30,34.433,"JINGHE, CH",1.0,GHCND:CHM00057131,METERS,108.967
674.0,1952-01-01,2023-08-30,32.067,"WANYUAN, CH",1.0,GHCND:CHM00057237,METERS,108.033
91.0,1951-01-01,2023-08-30,32.383,"GUANGHUA, CH",1.0,GHCND:CHM00057265,METERS,111.667
83.0,1958-01-01,2023-08-30,33.0,"ZHUMADIAN, CH",1.0,GHCND:CHM00057290,METERS,114.017
115.0,1951-01-01,2023-08-30,32.133,"XINYANG, CH",1.0,GHCND:CHM00057297,METERS,114.05
310.0,1951-01-01,2023-08-30,30.8,"NANCHONG, CH",1.0,GHCND:CHM00057411,METERS,106.083
458.0,1945-03-31,2023-08-30,30.283,"ENSHI, CH",1.0,GHCND:CHM00057447,METERS,109.467
134.0,1951-01-01,2023-08-30,30.7,"YICHANG, CH",1.0,GHCND:CHM00057461,METERS,111.3
34.0,1951-01-01,2023-08-30,30.6,"WUHAN, CH",1.0,GHCND:CHM00057494,METERS,114.05
351.0,1956-08-01,1986-12-31,29.517,"CHONG QING, CH",1.0,GHCND:CHM00057515,METERS,106.483
416.0,1944-11-11,2023-08-30,29.583,"CHONGQING, CH",1.0,GHCND:CHM00057516,METERS,106.467
665.0,1951-01-01,2023-08-30,28.833,"YOUYANG, CH",1.0,GHCND:CHM00057633,METERS,108.767
35.0,1951-01-01,2023-08-30,29.05,"CHANGDE, CH",1.0,GHCND:CHM00057662,METERS,111.683
46.0,1951-01-01,2009-12-31,28.2,"CHANGSHA, CH",0.661,GHCND:CHM00057679,METERS,113.083
68.0,1944-02-15,2023-08-30,28.233,"CHANGSHA, CH",1.0,GHCND:CHM00057687,METERS,112.867
1511.0,1951-01-01,2023-08-30,27.3,"BIJIE, CH",1.0,GHCND:CHM00057707,METERS,105.233
845.0,1951-01-01,2012-12-31,27.7,"ZUNYI, CH",1.0,GHCND:CHM00057713,METERS,106.883
273.0,1943-10-01,2023-08-30,27.45,"ZHIJIANG, CH",1.0,GHCND:CHM00057745,METERS,109.683
78.0,1951-01-01,2023-08-30,27.117,"JIAN, CH",1.0,GHCND:CHM00057799,METERS,114.967
1223.0,1945-02-04,2023-08-30,26.583,"GUIYANG, CH",1.0,GHCND:CHM00057816,METERS,106.733
174.0,1943-06-01,2023-08-30,26.233,"LINGLING, CH",1.0,GHCND:CHM00057866,METERS,111.617
1379.0,1951-01-01,2023-08-30,25.433,"XINGREN, CH",1.0,GHCND:CHM00057902,METERS,105.183
174.0,1943-06-07,2023-08-30,25.333,"GUILIN, CH",1.0,GHCND:CHM00057957,METERS,110.3
138.0,1944-12-02,2023-08-30,25.867,"GANZHOU, CH",1.0,GHCND:CHM00057993,METERS,115.0
42.0,1956-08-01,2023-08-30,34.283,"XUZHOU, CH",1.0,GHCND:CHM00058027,METERS,117.15
10.0,1957-01-01,2023-08-30,34.85,"GANYU, CH",1.0,GHCND:CHM00058040,METERS,119.133
42.0,1953-01-01,2023-08-30,33.883,"BOXIAN, CH",1.0,GHCND:CHM00058102,METERS,115.767
22.0,1951-01-01,2023-08-30,32.95,"BENGBU, CH",1.0,GHCND:CHM00058221,METERS,117.367
15.0,1951-01-01,2023-08-30,31.933,"NANJING, CH",1.0,GHCND:CHM00058238,METERS,118.9
5.0,1953-01-01,2023-08-30,32.85,"DONGTAI, CH",1.0,GHCND:CHM00058251,METERS,120.283
68.0,1954-01-01,2023-08-30,31.4,"HUOSHAN, CH",1.0,GHCND:CHM00058314,METERS,116.333
36.0,1952-01-01,2023-08-30,31.867,"HEFEI, CH",1.0,GHCND:CHM00058321,METERS,117.233
4.0,1991-01-01,2023-08-30,31.4,"SHANGHAI, CH",1.0,GHCND:CHM00058362,METERS,121.467
7.0,1951-01-01,2023-08-30,31.167,"SHANGHAI HONGQIAO, CH",0.9998,GHCND:CHM00058367,METERS,121.433
20.0,1951-01-01,2023-08-30,30.533,"ANQING, CH",1.0,GHCND:CHM00058424,METERS,117.05
43.0,1951-01-01,2023-08-30,30.233,"HANGZHOU, CH",1.0,GHCND:CHM00058457,METERS,120.167
37.0,1955-01-01,2023-08-30,30.033,"DINGHAI, CH",1.0,GHCND:CHM00058477,METERS,122.117
60.0,1952-01-01,2023-08-30,29.3,"JINGDEZHEN, CH",1.0,GHCND:CHM00058527,METERS,117.2
50.0,1951-01-01,2023-08-30,28.6,"NANCHANG, CH",1.0,GHCND:CHM00058606,METERS,115.917
71.0,1951-01-01,2023-08-30,28.967,"QU XIAN, CH",1.0,GHCND:CHM00058633,METERS,118.867
7.0,1951-01-01,2014-02-02,28.017,"WENZHOU, CH",0.9984,GHCND:CHM00058659,METERS,120.667
82.0,1952-01-01,2023-08-30,27.583,"NANCHENG, CH",1.0,GHCND:CHM00058715,METERS,116.65
38.0,2001-01-01,2023-08-30,27.783,"RUIAN, CH",1.0,GHCND:CHM00058752,METERS,120.65
128.0,1951-01-01,2023-08-30,26.633,"NANPING, CH",1.0,GHCND:CHM00058834,METERS,118.0
14.0,1953-01-01,2023-08-30,26.083,"FUZHOU, CH",1.0,GHCND:CHM00058847,METERS,119.283
204.0,1951-01-01,2023-08-30,25.967,"YONGAN, CH",1.0,GHCND:CHM00058921,METERS,117.35
214.0,1955-01-01,2023-08-30,24.7,"HECHI, CH",1.0,GHCND:CHM00059023,METERS,108.05
68.0,1951-01-01,2023-08-30,24.667,"SHAOGUAN, CH",1.0,GHCND:CHM00059082,METERS,113.6
18.0,1954-01-01,2023-08-30,24.483,"XIAMEN, CH",1.0,GHCND:CHM00059134,METERS,118.083
177.0,1951-01-01,2023-08-30,23.9,"BAISE, CH",1.0,GHCND:CHM00059211,METERS,106.6
44.0,1953-01-01,2023-08-30,23.4,"GUIPING, CH",1.0,GHCND:CHM00059254,METERS,110.083
120.0,1951-01-01,2023-08-30,23.483,"WUZHOU, CH",1.0,GHCND:CHM00059265,METERS,111.3
71.0,1945-11-30,2023-08-30,23.217,"GUANGZHOU, CH",1.0,GHCND:CHM00059287,METERS,113.483
41.0,1952-01-01,2023-08-30,23.8,"HEYUAN, CH",1.0,GHCND:CHM00059293,METERS,114.733
3.0,1951-01-01,2023-08-30,23.4,"SHANTOU, CH",1.0,GHCND:CHM00059316,METERS,116.683
129.0,1953-01-01,2023-08-30,22.367,"LONGZHOU, CH",1.0,GHCND:CHM00059417,METERS,106.75
126.0,1944-01-15,2023-08-30,22.633,"NANNING, CH",1.0,GHCND:CHM00059431,METERS,108.217
5.0,1952-01-01,2023-08-30,22.783,"SHANWEI, CH",1.0,GHCND:CHM00059501,METERS,115.367
6.0,1952-01-01,2023-08-30,21.95,"QINZHOU, CH",1.0,GHCND:CHM00059632,METERS,108.617
22.0,1952-01-01,2023-08-30,21.867,"YANGJIANG, CH",1.0,GHCND:CHM00059663,METERS,111.967
24.0,1951-01-01,2023-08-30,20.0,"HAIKOU, CH",1.0,GHCND:CHM00059758,METERS,110.25
25.0,1952-01-01,2023-08-30,19.233,"QIONGHAI, CH",1.0,GHCND:CHM00059855,METERS,110.467
7.0,1956-08-01,2023-08-30,18.217,"SANYA, CH",0.8767,GHCND:CHM00059948,METERS,109.583
5.0,1957-07-01,2023-08-30,16.833,"XISHA DAO, CH",0.8298,GHCND:CHM00059981,METERS,112.333
27.1,1945-01-01,1949-04-26,31.23333,"HUNG CHIA, CH",1.0,GHCND:CHW00043204,METERS,121.45
14.0,1946-01-01,1948-09-30,36.18333,"TSINGTAO, CH",0.9991,GHCND:CHW00043205,METERS,120.38333
6.1,1952-01-01,2023-08-30,22.15,"MACAU INTERNATIONAL, CH",0.8307,GHCND:MCM00045011,METERS,113.592
130.0,1881-01-01,2023-08-29,50.25,"BLAGOVESCENSK, CH",0.9667,GHCND:RSM00031510,METERS,127.5
